wallclock utime stime cpu memory io iow wallclock(hrs) utilisation memory(mem/cpu) gid
ac 569100890.000000 362255793.000000 9856431.000000 440659802.000000 79360492.172000 0.000000 0.000000 158083.580556 31.898361 0.180095 1.000000
ap 138895459.000000 90229426.000000 166082.000000 93724591.000000 55741404.541000 0.000000 0.000000 38582.071944 7.785153 0.594736 2.000000
ar 13823587.000000 5285080.000000 203169.000000 6215095.000000 2463567.422000 0.000000 0.000000 3839.885278 0.774818 0.396385 3.000000
bo 107822646.000000 52394962.000000 486041.000000 62648593.000000 9436192.176000 0.000000 0.000000 29950.735000 6.043508 0.150621 4.000000
ch 155982333.000000 112772074.000000 5154942.000000 152749448.000000 206739976020.303009 0.000000 0.000000 43328.425833 8.742880 1353.458089 5.000000
ci 28840246.000000 12357273.000000 376113.000000 16531947.000000 16763230.322000 0.000000 0.000000 8011.179444 1.616509 1.013990 6.000000
co 239151672.000000 103772938.000000 12534723.000000 144776488.000000 117196982.894000 0.000000 0.000000 66431.020000 13.404559 0.809503 7.000000
cp 29194252.000000 4995640.000000 46103.000000 13208264.000000 8671246.601000 0.000000 0.000000 8109.514444 1.636351 0.656502 8.000000
cs 20060756.000000 9745525.000000 624241.000000 11313123.000000 470273.181000 0.000000 0.000000 5572.432222 1.124414 0.041569 9.000000
el 5863433.000000 2457688.000000 3173.000000 2942353.000000 1249863.616000 0.000000 0.000000 1628.731389 0.328648 0.424784 10.000000
fc 520229.000000 10017.000000 779.000000 147980.000000 335878.325000 0.000000 0.000000 144.508056 0.029159 2.269755 11.000000
gg 1468737.000000 17057.000000 1673.000000 23230.000000 11131.354000 0.000000 0.000000 407.982500 0.082323 0.479180 12.000000
li 3046906.000000 643404.000000 11989.000000 759501.000000 596169.601000 0.000000 0.000000 846.362778 0.170780 0.784949 13.000000
mb 29019744.000000 11882764.000000 17165.000000 12282974.000000 604135.552000 0.000000 0.000000 8061.040000 1.626570 0.049185 14.000000
md 2385516.000000 1660991.000000 656.000000 1662987.000000 1273770.673000 0.000000 0.000000 662.643333 0.133709 0.765953 15.000000
me 297029164.000000 110727150.000000 747501.000000 190355179.000000 206742720.684000 0.000000 0.000000 82508.101111 16.648618 1.086089 16.000000
mp 1885929.000000 583814.000000 262609.000000 1477181.000000 1244748.534000 0.000000 0.000000 523.869167 0.105707 0.842651 17.000000
mt 54328007.000000 24468018.000000 48761.000000 29751344.000000 5338805.942000 0.000000 0.000000 15091.113056 3.045109 0.179448 18.000000
ph 4796602.000000 265770.000000 2076.000000 1648503.000000 232029.341000 0.000000 0.000000 1332.389444 0.268852 0.140752 19.000000
pm 120379.000000 635.000000 80.000000 734.000000 1210.086000 0.000000 0.000000 33.438611 0.006747 1.648619 20.000000
st 52607.000000 7291.000000 136.000000 14715.000000 12897.261000 0.000000 0.000000 14.613056 0.002949 0.876470 21.000000
tr 2131846.000000 442702.000000 8222.000000 550927.000000 2147833.476000 0.000000 0.000000 592.179444 0.119491 3.898581 22.000000
wr 76153611.000000 39494425.000000 281094.000000 43516130.000000 608251.601000 0.000000 0.000000 21153.780833 4.268444 0.013978 23.000000
xu 716091.000000 2259.000000 90.000000 2533.000000 942.950000 0.000000 0.000000 198.914167 0.040137 0.372266 24.000000
zz 1716380.000000 131550.000000 2251.000000 141180.000000 43961.292000 0.000000 0.000000 476.772222 0.096204 0.311385 25.000000
