OWNER        WALLCLOCK         UTIME         STIME           CPU             MEMORY                 IO                IOW
=========================================================================================================================
ac1cdp         1978057         63687          2465       1019131         205126.571              0.000              0.000
ac1dja              61             0             0             0              0.003              0.000              0.000
ac1jz             3699             0             0             0              0.002              0.000              0.000
ac1rhc         2796589         98171         15096       1348257        2649190.052              0.000              0.000
ac1ss         37917954      17288827         35969      18516941         674972.984              0.000              0.000
acp04mog       8223465       4740813           414       5397518          72323.245              0.000              0.000
acp04mtg     156787737     104334517       5264713     154432192       21515063.721              0.000              0.000
acp04tmp     335136800     230004998        593766     230667527       36637751.152              0.000              0.000
acp04vm       12189659       5165320       3862099      24427375       17240472.980              0.000              0.000
acp05st        1342125        308442         55516        363985          94918.360              0.000              0.000
acp06ar        1116885         62716          9546        104552          19877.714              0.000              0.000
acp06jsc         32011             5             4           207            137.403              0.000              0.000
acp06sha            91             0             0             0              0.000              0.000              0.000
acp06ss       11575757        188297         16843       4382117         250657.985              0.000              0.000
ap1dfr          284537         28812             2        123841            809.192              0.000              0.000
ap1drr         3504430       1897547         21531       1950642        3296860.933              0.000              0.000
ap1ew             5507             0             0          3054           7002.529              0.000              0.000
ap1jc             5663             0             0             1              0.036              0.000              0.000
ap1ko           167546         65759         35045        100815          74061.326              0.000              0.000
ap1lmh        86178637      63564133         68128      65123614       42254208.834              0.000              0.000
ap1nl          2164183         30254           528        178517         104404.112              0.000              0.000
ap1plc           42010          8172             1         16220           2015.080              0.000              0.000
ap1ss         22306612      20398539         14710      20413808        7184143.829              0.000              0.000
ap1sz           607206         25270          3512        139892         484825.102              0.000              0.000
ap1vf          9651508        900491          3832       1536936         714805.923              0.000              0.000
ap4gv          5623637        315095          4685        943039          93801.104              0.000              0.000
ap4mm           213956         80545           147        113199          13485.527              0.000              0.000
app03jah         43510           251            16           422            654.033              0.000              0.000
app03las          9110             0             0             0              0.006              0.000              0.000
app03nar         57941            69            15           338             11.265              0.000              0.000
app04cjm       3805857       2516256          1141       2656664         898428.394              0.000              0.000
app05cej       1345477          1709           140          3089           1356.760              0.000              0.000
app05md        1402180        396096         12488        419723         610486.706              0.000              0.000
app06apn          9188             0             0             0              0.000              0.000              0.000
app06es        1466764           428           161           777             43.850              0.000              0.000
arp04jql      13823587       5285080        203169       6215095        2463567.422              0.000              0.000
bo1acf        10751695       5217564        193384       6061170        1561335.884              0.000              0.000
bo1djb          199333         10644           958         33161          79948.617              0.000              0.000
bo1djm        19263384       7056125          8169      13416412          56637.303              0.000              0.000
bo1dzc        37527513      23957218         16582      24377497        2317099.567              0.000              0.000
bo1is            49624          4189            37          5425            189.451              0.000              0.000
bo1jlx          269754        134270           990        138259          97083.047              0.000              0.000
bo1mrl         1135828        402357         35686        500593         342107.816              0.000              0.000
bo1op         19574467      10197284         36669      10235175        1197798.132              0.000              0.000
bo1rafx       11725389       3175851        187195       5165612        3528187.824              0.000              0.000
bo1sdw         6771102       2190155           843       2616521         103635.036              0.000              0.000
bo1sjb          516278         44857          4866         67533         137152.834              0.000              0.000
bop03blh         38279          4448           662         31235          15016.665              0.000              0.000
ch1ajm        21371611      14421395        815276      15744450       35751504.516              0.000              0.000
ch1dm         56580683      44787122        756235      45764305       57788690.752              0.000              0.000
ch1mg           315704         42587           914         62261          92491.387              0.000              0.000
cha03sls      49976140      36811149       1305289      55932148       30662053.746              0.000              0.000
chp03jcc           101             0             0             0              0.002              0.000              0.000
chp04gs         715039        233997         38198        272428         673450.990              0.000              0.000
chp04vr          28801             0             0             2              0.200              0.000              0.000
chp05cm             88             0             0            14             19.008              0.000              0.000
chp05kaw      26788635      16475824       2239030      34973782   206615007718.712              0.000              0.000
chp06lab        205531             0             0            58             90.990              0.000              0.000
ci1ccs          696994        367027          5101        379706         914149.466              0.000              0.000
ci1dmu           44081             0             0          8964           3588.495              0.000              0.000
ci1mg           442512        311960           469        345230        1348428.653              0.000              0.000
ci1qn            11045             6             0          2148           3523.287              0.000              0.000
ci1vrs        14872564       6353763        159274       8170985        6731516.331              0.000              0.000
cia02njj        560825         52775           779        163207          56401.111              0.000              0.000
cip03ms           2718             0             0             0              0.007              0.000              0.000
cip03sdl       8747033       3452355         71813       4974267        4877305.785              0.000              0.000
cip03wd         487635        283632          3250        366689        1835014.618              0.000              0.000
cip04zu        1652156        460115           178        909853         146378.342              0.000              0.000
cip05yh        1322501       1075629        135248       1210885         846904.912              0.000              0.000
cip06znd           182            11             1            13             19.315              0.000              0.000
coa02rh           5860          1991           107          2104            829.234              0.000              0.000
cop02as        5885837       2320916          3861       2800202         574924.745              0.000              0.000
cop02md       34059414      13318681       4671242      19600387        6733975.006              0.000              0.000
cop04kp      193859652      86190249       7382387     119955560      107184736.029              0.000              0.000
cop05vo        5340909       1941101        477126       2418235        2702517.880              0.000              0.000
coq05qh              0             0             0             0              0.000              0.000              0.000
cpp03gsr         50681         36369         12946         49340          10215.684              0.000              0.000
cpp03nap          8385            11             8          2652           1130.035              0.000              0.000
cpp03vac        675115          4431           636         89873         146458.397              0.000              0.000
cpp04ap        5156174       1025934          6488       1470651         707994.410              0.000              0.000
cpp04hcb       5509121        289937          1949       1981709        4683161.509              0.000              0.000
cpp04mhi         29387            19             1           370            216.542              0.000              0.000
cpp04tjc       1487061        567998          4498        682308        2358519.151              0.000              0.000
cpp05kwc      16150585       3070454         19535       8908315         749176.080              0.000              0.000
cpp05pjg         21786            25             2            29             41.056              0.000              0.000
cpp06ejg         57952           356            16           593           1240.232              0.000              0.000
cpq05wc          48005           106            24         22424          13093.505              0.000              0.000
cs1ac            26661            10             3            32             17.679              0.000              0.000
cs1ajb           45789             2             0            19              6.115              0.000              0.000
cs1dgw           13760            29             1            54             74.974              0.000              0.000
cs1ds           618208           227            62           403            444.480              0.000              0.000
cs1ibo             714             0             0             0              0.004              0.000              0.000
cs1mjw               5             0             0             0              0.003              0.000              0.000
cs1mkg         3096795        903686         59418       1196144         108466.334              0.000              0.000
cs4un11        5453669       3622931        256506       4096477         177406.678              0.000              0.000
cs4un12          11613            66             0            67              1.483              0.000              0.000
cs4un16        4701694       1881101           215       1920889          14059.608              0.000              0.000
cs4un18              3             0             0             0              0.003              0.000              0.000
cs4un2           11509             0             0            22              2.390              0.000              0.000
cs4un3            9792             1             1            21             18.394              0.000              0.000
cs4un5         6055877       3337254        308033       4098768         169583.568              0.000              0.000
cs4un6           14464            74             2            78             20.074              0.000              0.000
cs6grid            203           144             0           149            171.394              0.000              0.000
el1ag           706320           314           155        416188        1127920.070              0.000              0.000
el1gxw            2965             0             0            14              6.652              0.000              0.000
el1jjr          448889           925            57          1600           1781.721              0.000              0.000
el1ll           350429           228            30           617           1097.463              0.000              0.000
el1pb           278155            69            18           373            327.076              0.000              0.000
elp04mjw         10735            26            10            62             59.076              0.000              0.000
elp04sl        3565348       2392240           422       2417833          17913.696              0.000              0.000
elp05ast        151920            20             3          1336           1477.258              0.000              0.000
elp05kdw        146948         63552          2456         78771          55735.258              0.000              0.000
elp06db           7293            13            12            41              2.111              0.000              0.000
elp06sdd         15099           300            10           344            261.383              0.000              0.000
elp96sdc         29333             0             0         24403          42378.002              0.000              0.000
elp97djp        149999             1             0           771            903.850              0.000              0.000
fc1bnh          417575          7233           739        145123         335648.658              0.000              0.000
fc1vt             4678            11             4            18              1.812              0.000              0.000
fc1wbz           36682             0             0             0              0.000              0.000              0.000
fc1yby           61294          2773            36          2839            227.855              0.000              0.000
gg1eh            43817          3294           119          3425            490.007              0.000              0.000
gg1rcl         1266957         13677          1552         19570          10631.038              0.000              0.000
ggp03ac         157877            18             2           167             10.296              0.000              0.000
ggp05cj             86            68             0            68              0.013              0.000              0.000
li1mxw         2419088        480800          2357        488795           4927.375              0.000              0.000
lip05hp         530913        155235          5271        258974         590034.490              0.000              0.000
lip06gp           3805             0             0             0              0.000              0.000              0.000
lip06rlm         93100          7369          4361         11732           1207.736              0.000              0.000
mb1nam        28489619      11882764         17133      12282901         604076.287              0.000              0.000
mbp04mf         530125             0            32            73             59.265              0.000              0.000
md1ly               89             0             0             0              0.003              0.000              0.000
md1nds            9913            10            10            31              0.681              0.000              0.000
md1rdw         1522189       1056323           288       1057703        1247382.427              0.000              0.000
mdp05wl         810291        604601           262        604866          25830.562              0.000              0.000
mdp06kjc         43034            57            96           387            557.000              0.000              0.000
me1ay          1803995        752306          2545        800802         116335.292              0.000              0.000
me1csl          104317           410            78          3126            284.981              0.000              0.000
me1db            66306          3881           412          4332           7746.835              0.000              0.000
me1fcgan       1334396        450654          7634        459874         383327.541              0.000              0.000
me1jhl         1785414         53882         20873        186371         317685.457              0.000              0.000
me1jmm          286136         39593          2041         50456         155006.482              0.000              0.000
me1jw           652923         37941          1232         40186           5919.768              0.000              0.000
me1nds          165238          1127           112          3056           4090.476              0.000              0.000
me1ord         3719732        725603          7060        961856         854745.652              0.000              0.000
me1rjb          213791           151            61          1287            966.487              0.000              0.000
me1rjh               7             0             0             0              0.000              0.000              0.000
me1sbx          583441          1004           348        254888         332822.096              0.000              0.000
me1sgb          961544        266897          5184        320787          33201.570              0.000              0.000
me1xmas         211161        164157          8334        175757          55418.166              0.000              0.000
mea01bls      23321857       8769349        148446      11353140        5724839.613              0.000              0.000
mea02jc         258294           265            71          1266           1329.544              0.000              0.000
mea02pjh       8240751       2816573         99578       2942788         426256.077              0.000              0.000
mea02sdp         18583           381            54           934           1108.138              0.000              0.000
mea03ahc         46706           369            62           515            594.293              0.000              0.000
mea03ahj        105919             0             0             4              0.135              0.000              0.000
mea03cal       7271410       3253654         88584       3874163        7066548.144              0.000              0.000
mea03cdj        279832         12140          1655         33203          23762.895              0.000              0.000
mea03cp         219874         14719           891         20486           2803.105              0.000              0.000
mea03crp        117251          1743           154          2837           4080.762              0.000              0.000
mea03csm         57212          1385           218          5570           6781.961              0.000              0.000
mea03czl         35452             1             0         28849          27988.338              0.000              0.000
mea03drj         98258           510            96          1100           1187.815              0.000              0.000
mea03ejs       3940335        729612         18058        994653          63425.285              0.000              0.000
mea03gb          96147          9706          3500         37900          46412.732              0.000              0.000
mea03gs          34323           306            56          1217           1311.789              0.000              0.000
mea03jdg            39             0             0             0              0.001              0.000              0.000
mea03jme            12             0             0             0              0.001              0.000              0.000
mea03jwh        101735           293            36           428            474.931              0.000              0.000
mea03kh       59265291      30029555        111703      47384192       12517100.953              0.000              0.000
mea03kl          79132            20             4           129            124.977              0.000              0.000
mea03ldc         19224          6472          1966          8458          10371.501              0.000              0.000
mea03mh       10606459       6681591         19072       7368000         648635.000              0.000              0.000
mea03mjf       4310470       2625977          7369       2815043         231427.618              0.000              0.000
mea03mjh        425718         17838           362         67904           6033.119              0.000              0.000
mea03mrd        282314             0             0           436            470.905              0.000              0.000
mea03naj        127989           652           133         22516           1960.262              0.000              0.000
mea03ned        688242         48059          6236        106766         128950.547              0.000              0.000
mea03njd         31210             7             1          1582           1893.636              0.000              0.000
mea03njp        503245          2838           543          7175          11680.897              0.000              0.000
mea03sk        1956975        460490         17730        698474         715360.030              0.000              0.000
mea03sw         145680         16271           149         34705           4234.013              0.000              0.000
mea03ta          64592           848           133          1119           1406.447              0.000              0.000
mea03trb         13095           160            23           225            130.727              0.000              0.000
mea03uam        404751           753           165          2213            296.911              0.000              0.000
mea04ad         138023           975           126          2209           2454.043              0.000              0.000
mea04adp        121367           261            41           984           1108.067              0.000              0.000
mea04ajb         58296           512           152           873           1315.615              0.000              0.000
mea04ams        164868           857           137          1349           1493.825              0.000              0.000
mea04aqc          7350            11             1           204            234.260              0.000              0.000
mea04asi           912             1             0             4              1.595              0.000              0.000
mea04cal        274342          1067           236          2078           2290.302              0.000              0.000
mea04cw          71359           253            56           959           1083.948              0.000              0.000
mea04db          24772            79            14           152            137.148              0.000              0.000
mea04dc         177629          1735          1237          3157           3809.892              0.000              0.000
mea04dg         206319          2041           192          6452           7656.888              0.000              0.000
mea04dl          15330             0             0            30             20.248              0.000              0.000
mea04dmj        140340          3556           117         11080          10440.211              0.000              0.000
mea04dsa        626167          1029           179          2057           2311.334              0.000              0.000
mea04ftb        181385          1137           231          2674           2963.916              0.000              0.000
mea04gt          56065           436            80           945            932.934              0.000              0.000
mea04hpb        503442         12626           505         23231          28138.479              0.000              0.000
mea04hzl         64319           567            90          1007           1111.222              0.000              0.000
mea04ia         350257          1586           393          2819           3687.605              0.000              0.000
mea04jam        204415           843           113          2008           2339.261              0.000              0.000
mea04jes        101561           393            65          1671           1942.811              0.000              0.000
mea04jhl        254743           981           242          1664           1636.921              0.000              0.000
mea04jlh        129633           800           229          2800           3164.231              0.000              0.000
mea04jms        277233          5824           804          9797          11795.473              0.000              0.000
mea04jrt        210714           994           241          3607           4283.880              0.000              0.000
mea04jws         95874           111            21           965            967.073              0.000              0.000
mea04kee         43617           158            30           320            359.456              0.000              0.000
mea04kfk         88100          2234           170          2805           3305.849              0.000              0.000
mea04kh          82415           266            59           575            562.831              0.000              0.000
mea04kn         247244            82            83          1184           1142.041              0.000              0.000
mea04kpk        521026         65839         11603         79687          39645.362              0.000              0.000
mea04ks          15314            29             4           109             86.846              0.000              0.000
mea04mam        131149           835           567          2084           1992.487              0.000              0.000
mea04mh          87717           738           158          1611           1846.062              0.000              0.000
mea04mjh        296665            31             9          2051           2147.911              0.000              0.000
mea04mks         46380           100            47           283            271.508              0.000              0.000
mea04mnm       1039086        191682          3358        292273          66883.361              0.000              0.000
mea04nca        102506           812            92          1607           1907.506              0.000              0.000
mea04nmn          3040             0             0            14             10.885              0.000              0.000
mea04pad        161847           263            86          1650           1769.499              0.000              0.000
mea04pk         168990           556            84          1354           1530.834              0.000              0.000
mea04pmw        103691           332            51           829            969.250              0.000              0.000
mea04rgs        309769          2503           405          4217           4604.413              0.000              0.000
mea04row         19086            13             3            37             32.223              0.000              0.000
mea04rp           8958            84             5            92            110.749              0.000              0.000
mea04slp         60023           871           140          1368           1632.976              0.000              0.000
mea04slw        270284          2060           206          4262           4888.074              0.000              0.000
mea04spc         24540           175           409           832            951.316              0.000              0.000
mea04srh        616795          3462           851          5625           6753.608              0.000              0.000
