wallclock utime stime cpu memory io iow wallclock(hrs) utilisation memory(mem/cpu) uid
ac1cdp 1978057.000000 63687.000000 2465.000000 1019131.000000 205126.571000 0.000000 0.000000 549.460278 0.110871 0.201276 1.000000
ac1dja 61.000000 0.000000 0.000000 0.000000 0.003000 0.000000 0.000000 0.016944 0.000003 0.000000 2.000000
ac1jz 3699.000000 0.000000 0.000000 0.000000 0.002000 0.000000 0.000000 1.027500 0.000207 0.000000 3.000000
ac1rhc 2796589.000000 98171.000000 15096.000000 1348257.000000 2649190.052000 0.000000 0.000000 776.830278 0.156750 1.964900 4.000000
ac1ss 37917954.000000 17288827.000000 35969.000000 18516941.000000 674972.984000 0.000000 0.000000 10532.765000 2.125318 0.036452 5.000000
acp04mog 8223465.000000 4740813.000000 414.000000 5397518.000000 72323.245000 0.000000 0.000000 2284.295833 0.460929 0.013399 6.000000
acp04mtg 156787737.000000 104334517.000000 5264713.000000 154432192.000000 21515063.721000 0.000000 0.000000 43552.149167 8.788023 0.139317 7.000000
acp04tmp 335136800.000000 230004998.000000 593766.000000 230667527.000000 36637751.152000 0.000000 0.000000 93093.555556 18.784568 0.158834 8.000000
acp04vm 12189659.000000 5165320.000000 3862099.000000 24427375.000000 17240472.980000 0.000000 0.000000 3386.016389 0.683236 0.705785 9.000000
acp05st 1342125.000000 308442.000000 55516.000000 363985.000000 94918.360000 0.000000 0.000000 372.812500 0.075227 0.260775 10.000000
acp06ar 1116885.000000 62716.000000 9546.000000 104552.000000 19877.714000 0.000000 0.000000 310.245833 0.062602 0.190123 11.000000
acp06jsc 32011.000000 5.000000 4.000000 207.000000 137.403000 0.000000 0.000000 8.891944 0.001794 0.663783 12.000000
acp06sha 91.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.025278 0.000005 0.000000 13.000000
acp06ss 11575757.000000 188297.000000 16843.000000 4382117.000000 250657.985000 0.000000 0.000000 3215.488056 0.648826 0.057200 14.000000
ap1dfr 284537.000000 28812.000000 2.000000 123841.000000 809.192000 0.000000 0.000000 79.038056 0.015948 0.006534 15.000000
ap1drr 3504430.000000 1897547.000000 21531.000000 1950642.000000 3296860.933000 0.000000 0.000000 973.452778 0.196425 1.690141 16.000000
ap1ew 5507.000000 0.000000 0.000000 3054.000000 7002.529000 0.000000 0.000000 1.529722 0.000309 2.292904 17.000000
ap1jc 5663.000000 0.000000 0.000000 1.000000 0.036000 0.000000 0.000000 1.573056 0.000317 0.036000 18.000000
ap1ko 167546.000000 65759.000000 35045.000000 100815.000000 74061.326000 0.000000 0.000000 46.540556 0.009391 0.734626 19.000000
ap1lmh 86178637.000000 63564133.000000 68128.000000 65123614.000000 42254208.834000 0.000000 0.000000 23938.510278 4.830351 0.648831 20.000000
ap1nl 2164183.000000 30254.000000 528.000000 178517.000000 104404.112000 0.000000 0.000000 601.161944 0.121303 0.584841 21.000000
ap1plc 42010.000000 8172.000000 1.000000 16220.000000 2015.080000 0.000000 0.000000 11.669444 0.002355 0.124234 22.000000
ap1ss 22306612.000000 20398539.000000 14710.000000 20413808.000000 7184143.829000 0.000000 0.000000 6196.281111 1.250296 0.351926 23.000000
ap1sz 607206.000000 25270.000000 3512.000000 139892.000000 484825.102000 0.000000 0.000000 168.668333 0.034034 3.465710 24.000000
ap1vf 9651508.000000 900491.000000 3832.000000 1536936.000000 714805.923000 0.000000 0.000000 2680.974444 0.540971 0.465085 25.000000
ap4gv 5623637.000000 315095.000000 4685.000000 943039.000000 93801.104000 0.000000 0.000000 1562.121389 0.315207 0.099467 26.000000
