Date Sunspot_Number
1975.042 18
1975.121 11
1975.203 11
1975.285 5
1975.370 9
1975.452 11
1975.537 28
1975.622 39
1975.704 13
1975.789 9
1975.871 19
1975.956 7
1976.041 8
1976.123 4
1976.205 21
1976.287 18
1976.372 12
1976.454 12
1976.539 1
1976.624 16
1976.706 13
1976.791 20
1976.873 5
1976.958 15
1977.043 16
1977.123 23
1977.205 8
1977.287 12
1977.372 18
1977.454 38
1977.539 21
1977.624 30
1977.706 44
1977.791 43
1977.873 29
1977.958 43
1978.042 51
1978.122 93
1978.204 76
1978.286 99
1978.371 82
1978.453 95
1978.538 70
1978.623 58
1978.705 138
1978.790 125
1978.872 97
1978.957 122
1979.042 166
1979.121 137
1979.203 138
1979.285 101
1979.370 134
1979.452 149
1979.537 159
1979.622 142
1979.704 188
1979.789 186
1979.871 183
1979.956 176
1980.041 159
1980.123 155
1980.205 126
1980.287 164
1980.372 179
1980.454 157
1980.539 136
1980.624 135
1980.706 155
1980.791 164
1980.873 147
1980.958 174
1981.043 114
1981.123 141
1981.205 135
1981.287 156
1981.372 127
1981.454 90
1981.539 143
1981.624 158
1981.706 167
1981.791 162
1981.873 137
1981.958 150
1982.042 111
1982.122 163
1982.204 153
1982.286 122
1982.371 82
1982.453 110
1982.538 106
1982.623 107
1982.705 118
1982.790 94
1982.872 98
1982.957 127
1983.042 84
1983.121 51
1983.203 66
1983.285 80
1983.370 99
1983.452 91
1983.537 82
1983.622 71
1983.704 50
1983.789 55
1983.871 33
1983.956 33
1984.041 57
1984.123 85
1984.205 83
1984.287 69
1984.372 76
1984.454 46
1984.539 37
1984.624 25
1984.706 15
1984.791 12
1984.873 22
1984.958 18
1985.043 16
1985.123 15
1985.205 17
1985.287 16
1985.372 27
1985.454 24
1985.539 30
1985.624 11
1985.706 3
1985.791 18
1985.873 16
1985.958 17
1986.042 2
1986.122 23
1986.204 15
1986.286 18
1986.371 13
1986.453 1
1986.538 18
1986.623 7
1986.705 3
1986.790 35
1986.872 15
1986.957 6
1987.042 10
1987.121 2
1987.203 14
1987.285 39
1987.370 33
1987.452 17
1987.537 33
1987.622 38
1987.704 33
1987.789 60
1987.871 39
1987.956 27
1988.041 59
1988.123 40
1988.205 76
1988.287 88
1988.372 60
1988.454 101
1988.539 113
1988.624 111
1988.706 120
1988.791 125
1988.873 125
1988.958 179
1989.043 161
1989.123 165
1989.205 131
1989.287 130
1989.372 138
1989.454 196
1989.539 126
1989.624 168
1989.706 176
1989.791 159
1989.873 173
1989.958 165
1990.042 177
1990.122 130
1990.204 140
1990.286 140
1990.371 132
1990.453 105
1990.538 149
1990.623 200
1990.705 125
1990.790 145
1990.872 131
1990.957 129
1991.042 136
1991.121 167
1991.203 141
1991.285 140
1991.370 121
1991.452 169
1991.537 173
1991.622 176
1991.704 125
1991.789 144
1991.871 108
1991.956 144
1992.041 150
1992.123 161
1992.205 106
1992.287 99
1992.372 73
1992.454 65
1992.539 85
1992.624 64
1992.706 63
1992.791 88
1992.873 91
1992.958 82
1993.043 59
1993.123 91
1993.205 69
1993.287 62
1993.372 61
1993.454 49
1993.539 57
1993.624 42
1993.706 22
1993.791 56
1993.873 35
1993.958 48
1994.042 57
1994.122 35
1994.204 31
1994.286 16
1994.371 17
1994.453 28
1994.538 35
1994.623 22
1994.705 25
1994.790 44
1994.872 18
1994.957 26
1995.042 24
1995.121 29
1995.203 31
1995.285 14
1995.370 14
1995.452 15
1995.537 14
1995.622 14
1995.704 11
1995.789 21
1995.871 9
1995.956 10
1996.041 11
1996.123 4
1996.205 9
1996.287 4
1996.372 5
1996.454 11
1996.539 8
1996.624 14
1996.706 1
1996.791 1
1996.873 17
1996.958 13
1997.043 5
1997.123 7
1997.205 8
1997.287 15
1997.372 18
1997.454 12
1997.539 10
1997.624 24
1997.706 51
1997.791 23
1997.873 39
1997.958 41
1998.042 31
1998.122 40
1998.204 54
1998.286 53
1998.371 56
1998.453 70
1998.538 66
1998.623 92
1998.705 92
1998.790 55
1998.872 74
1998.957 81
1999.042 62
1999.121 66
1999.203 68
1999.285 63
1999.370 106
1999.452 137
1999.537 113
1999.622 93
1999.704 71
1999.789 116
1999.871 133
1999.956 84
2000.041 90
2000.123 112
2000.205 138
2000.287 125
2000.372 121
2000.454 124
2000.539 170
2000.624 130
2000.706 109
2000.791 99
2000.873 106
2000.958 104
2001.043 95
2001.123 80
2001.205 113
2001.287 107
2001.372 96
2001.454 134
2001.539 81
2001.624 106
2001.706 150
2001.791 125
2001.873 106
2001.958 131
